type,severity,lat,lng
ACCIDENT,LOW,29.755534,30.628618
FIRE,HIGH,29.345519,30.323653
ACCIDENT,MEDIUM,29.829135,31.023497
ACCIDENT,LOW,29.436853,31.112117
FIRE,CRITICAL,30.427902,32.186165
ACCIDENT,MEDIUM,30.422257,30.332549
FIRE,MEDIUM,30.147898,30.471004
FIRE,LOW,30.228492,31.457079
MEDICAL,HIGH,29.498767,30.612977
MEDICAL,LOW,29.922125,30.361601
ACCIDENT,HIGH,30.288226,31.344474
MEDICAL,CRITICAL,30.110012,31.082700
FIRE,HIGH,29.397733,31.434832
MEDICAL,CRITICAL,30.297686,31.111783
MEDICAL,LOW,30.867029,30.740599
FIRE,CRITICAL,30.386141,31.498944
MEDICAL,HIGH,29.541368,31.245460
ACCIDENT,MEDIUM,29.372828,31.069325
ACCIDENT,LOW,31.014090,32.074351
MEDICAL,LOW,30.029036,31.341209
FIRE,HIGH,30.433182,31.091235
ACCIDENT,CRITICAL,29.191337,31.420524
ACCIDENT,HIGH,29.221937,30.555253
MEDICAL,CRITICAL,30.383430,32.206917
MEDICAL,CRITICAL,29.727258,32.144203
FIRE,LOW,30.916891,30.555810
MEDICAL,CRITICAL,30.994069,30.657249
FIRE,CRITICAL,29.047610,32.074709
MEDICAL,LOW,29.376208,31.880901
FIRE,HIGH,29.114903,31.693638
FIRE,CRITICAL,30.034482,30.840448
FIRE,HIGH,30.339536,31.272340
FIRE,CRITICAL,30.816063,30.323444
MEDICAL,CRITICAL,30.696078,30.869115
MEDICAL,MEDIUM,29.131560,31.105597
MEDICAL,MEDIUM,29.244030,30.763225
ACCIDENT,MEDIUM,30.936754,31.330062
FIRE,LOW,30.934681,31.223616
FIRE,LOW,30.367026,31.788463
FIRE,HIGH,29.162113,30.654799
MEDICAL,MEDIUM,30.879011,31.265735
FIRE,LOW,30.655114,30.415462
MEDICAL,CRITICAL,30.692521,31.303709
ACCIDENT,CRITICAL,29.812988,31.988744
FIRE,MEDIUM,30.670711,31.996801
ACCIDENT,MEDIUM,29.673184,30.858671
FIRE,HIGH,30.678737,31.962026
MEDICAL,MEDIUM,30.027989,31.136149
FIRE,CRITICAL,30.850628,30.332712
MEDICAL,CRITICAL,29.218593,31.426449
FIRE,CRITICAL,29.172393,31.840271
MEDICAL,CRITICAL,30.818783,30.364241
MEDICAL,HIGH,30.528897,31.931496
MEDICAL,CRITICAL,29.071860,31.255642
FIRE,LOW,29.322912,31.483061
FIRE,CRITICAL,29.551101,30.330769
MEDICAL,MEDIUM,30.269454,32.144582
FIRE,CRITICAL,30.030884,31.087380
MEDICAL,HIGH,29.673144,31.910541
ACCIDENT,CRITICAL,29.331978,31.747441
MEDICAL,CRITICAL,30.618280,31.484189
MEDICAL,LOW,30.787924,30.661027
ACCIDENT,LOW,29.791557,30.960576
FIRE,MEDIUM,29.830735,30.976974
MEDICAL,CRITICAL,30.174709,30.315337
ACCIDENT,HIGH,30.611045,32.139960
FIRE,CRITICAL,30.961522,30.970034
ACCIDENT,HIGH,30.714197,30.795891
MEDICAL,HIGH,29.763451,30.303305
FIRE,MEDIUM,30.836697,31.404795
MEDICAL,LOW,29.126637,31.916995
MEDICAL,LOW,29.144803,31.537796
FIRE,LOW,29.116785,32.149582
ACCIDENT,MEDIUM,29.309096,30.978635
FIRE,MEDIUM,29.722310,31.154167
ACCIDENT,LOW,30.255809,30.526862
FIRE,CRITICAL,29.250788,31.413950
FIRE,HIGH,30.837062,31.145208
MEDICAL,MEDIUM,30.463840,30.544992
FIRE,LOW,29.293175,31.882583
FIRE,LOW,30.649475,31.254312
MEDICAL,LOW,29.551147,30.710462
MEDICAL,MEDIUM,30.467163,32.104552
FIRE,CRITICAL,29.669862,31.769725
ACCIDENT,LOW,30.613114,32.122028
FIRE,HIGH,30.972475,30.509638
MEDICAL,LOW,29.729203,32.128955
MEDICAL,LOW,30.783720,31.843601
ACCIDENT,LOW,29.070331,31.571993
ACCIDENT,HIGH,30.721436,30.730189
MEDICAL,MEDIUM,29.255176,30.760155
MEDICAL,CRITICAL,31.027060,30.505487
ACCIDENT,CRITICAL,29.785919,31.202311
FIRE,HIGH,30.183107,30.996466
FIRE,LOW,30.913497,31.722241
ACCIDENT,LOW,29.451761,31.317777
ACCIDENT,MEDIUM,30.861590,31.497705
FIRE,MEDIUM,29.197434,31.553217
MEDICAL,HIGH,30.668088,31.057747
FIRE,HIGH,30.655545,30.692904
