type,status,capacity,lat,lng,stationId,responderId
MEDICAL,AVAILABLE,5,30.833584,31.054480,1,1
POLICE,AVAILABLE,2,29.496289,30.720777,1,1
FIRE,AVAILABLE,6,29.228328,31.168217,1,1
MEDICAL,AVAILABLE,4,30.133637,32.135961,1,1
MEDICAL,AVAILABLE,1,29.403595,31.618657,1,1
POLICE,AVAILABLE,2,29.885955,30.496099,1,1
POLICE,AVAILABLE,1,30.377109,31.751619,1,1
MEDICAL,AVAILABLE,3,30.451068,31.773195,1,1
FIRE,AVAILABLE,6,29.409496,31.955833,1,1
MEDICAL,AVAILABLE,3,29.720159,30.414466,1,1
POLICE,AVAILABLE,1,30.088033,31.499627,1,1
POLICE,AVAILABLE,5,29.933670,30.786944,1,1
FIRE,AVAILABLE,6,29.708500,30.893556,1,1
POLICE,AVAILABLE,5,30.857631,31.465388,1,1
POLICE,AVAILABLE,3,30.986350,32.132362,1,1
POLICE,AVAILABLE,1,30.282065,31.635283,1,1
FIRE,AVAILABLE,4,29.895609,32.143584,1,1
FIRE,AVAILABLE,2,29.616840,31.758347,1,1
MEDICAL,AVAILABLE,2,29.082615,30.657737,1,1
POLICE,AVAILABLE,4,29.471852,31.271943,1,1
POLICE,AVAILABLE,3,30.688001,31.624706,1,1
FIRE,AVAILABLE,1,29.255812,30.348499,1,1
POLICE,AVAILABLE,2,29.707137,31.454363,1,1
POLICE,AVAILABLE,6,29.357241,31.299247,1,1
MEDICAL,AVAILABLE,3,29.902175,30.985013,1,1
POLICE,AVAILABLE,6,29.315504,31.512126,1,1
FIRE,AVAILABLE,3,30.909964,30.953174,1,1
POLICE,AVAILABLE,6,29.737641,30.481654,1,1
MEDICAL,AVAILABLE,1,29.124566,30.983380,1,1
MEDICAL,AVAILABLE,4,30.789207,30.614754,1,1
FIRE,AVAILABLE,5,29.213255,30.573975,1,1
POLICE,AVAILABLE,4,29.605617,30.405059,1,1
MEDICAL,AVAILABLE,6,29.983798,32.113373,1,1
FIRE,AVAILABLE,3,29.942482,32.000976,1,1
FIRE,AVAILABLE,4,29.788655,31.219620,1,1
MEDICAL,AVAILABLE,1,29.174375,30.489718,1,1
MEDICAL,AVAILABLE,4,30.036310,30.518008,1,1
MEDICAL,AVAILABLE,1,31.035045,31.875550,1,1
FIRE,AVAILABLE,4,29.924876,31.022913,1,1
POLICE,AVAILABLE,6,30.932518,31.552528,1,1
MEDICAL,AVAILABLE,4,29.531046,32.069543,1,1
FIRE,AVAILABLE,5,30.001955,32.192621,1,1
MEDICAL,AVAILABLE,6,30.467670,31.964077,1,1
FIRE,AVAILABLE,6,30.654489,32.016740,1,1
MEDICAL,AVAILABLE,2,30.372331,31.840121,1,1
POLICE,AVAILABLE,1,31.035998,30.501177,1,1
POLICE,AVAILABLE,1,29.381594,31.301016,1,1
FIRE,AVAILABLE,4,30.856078,30.467442,1,1
POLICE,AVAILABLE,1,30.941436,30.683775,1,1
FIRE,AVAILABLE,6,29.098047,30.641366,1,1
MEDICAL,AVAILABLE,6,29.460756,31.442968,1,1
POLICE,AVAILABLE,4,30.495073,31.995586,1,1
POLICE,AVAILABLE,5,30.419181,31.473306,1,1
FIRE,AVAILABLE,3,30.476886,31.813206,1,1
POLICE,AVAILABLE,2,30.751389,31.928437,1,1
POLICE,AVAILABLE,5,30.668500,31.637124,1,1
FIRE,AVAILABLE,6,30.044786,31.043959,1,1
POLICE,AVAILABLE,2,30.806487,30.969958,1,1
MEDICAL,AVAILABLE,4,29.183158,31.848732,1,1
POLICE,AVAILABLE,4,29.822549,32.033214,1,1
FIRE,AVAILABLE,4,29.322275,31.183889,1,1
