type,status,capacity,lat,lng,stationId,responderId
FIRE,AVAILABLE,1,30.891588,30.559179,1,1
FIRE,AVAILABLE,2,30.382503,30.282384,1,1
MEDICAL,AVAILABLE,6,30.202587,31.514545,1,1
POLICE,AVAILABLE,3,30.106520,30.303645,1,1
POLICE,AVAILABLE,3,30.704232,31.205892,1,1
FIRE,AVAILABLE,2,30.224237,31.977223,1,1
POLICE,AVAILABLE,1,30.329537,31.059028,1,1
FIRE,AVAILABLE,1,29.839425,31.907355,1,1
MEDICAL,AVAILABLE,5,29.333584,30.655722,1,1
MEDICAL,AVAILABLE,4,29.196173,32.172714,1,1
MEDICAL,AVAILABLE,2,30.188425,32.041811,1,1
POLICE,AVAILABLE,4,30.612785,31.977871,1,1
MEDICAL,AVAILABLE,3,29.714595,31.472050,1,1
FIRE,AVAILABLE,1,30.850335,30.826879,1,1
MEDICAL,AVAILABLE,6,29.087093,32.191718,1,1
POLICE,AVAILABLE,5,29.628887,31.953447,1,1
MEDICAL,AVAILABLE,1,29.520099,31.639094,1,1
MEDICAL,AVAILABLE,2,30.918294,31.440829,1,1
MEDICAL,AVAILABLE,3,30.623785,30.642186,1,1
MEDICAL,AVAILABLE,5,29.554826,30.353558,1,1
FIRE,AVAILABLE,3,29.854523,32.204903,1,1
POLICE,AVAILABLE,1,29.706739,32.202668,1,1
FIRE,AVAILABLE,4,30.018610,31.560398,1,1
MEDICAL,AVAILABLE,4,30.903791,31.314786,1,1
POLICE,AVAILABLE,6,30.982930,30.745779,1,1
POLICE,AVAILABLE,4,29.548472,31.077644,1,1
POLICE,AVAILABLE,1,29.967128,31.263979,1,1
MEDICAL,AVAILABLE,1,29.927090,30.552168,1,1
MEDICAL,AVAILABLE,4,30.439307,32.169338,1,1
MEDICAL,AVAILABLE,4,30.919855,30.765385,1,1
FIRE,AVAILABLE,1,29.694319,30.518215,1,1
FIRE,AVAILABLE,4,30.093861,31.217191,1,1
MEDICAL,AVAILABLE,3,29.754188,31.663665,1,1
POLICE,AVAILABLE,1,30.017506,31.694371,1,1
POLICE,AVAILABLE,4,29.365299,31.554305,1,1
FIRE,AVAILABLE,5,30.059076,30.415136,1,1
POLICE,AVAILABLE,1,30.172378,30.401763,1,1
POLICE,AVAILABLE,2,29.321589,31.368867,1,1
POLICE,AVAILABLE,4,30.114706,30.333359,1,1
FIRE,AVAILABLE,2,29.838320,31.205376,1,1
POLICE,AVAILABLE,5,29.128673,30.546452,1,1
FIRE,AVAILABLE,5,30.909578,30.737080,1,1
FIRE,AVAILABLE,5,30.561511,30.958587,1,1
MEDICAL,AVAILABLE,5,30.236082,31.528302,1,1
POLICE,AVAILABLE,1,30.858659,31.036624,1,1
POLICE,AVAILABLE,2,30.176076,30.688064,1,1
MEDICAL,AVAILABLE,4,30.108771,30.816652,1,1
FIRE,AVAILABLE,2,29.743874,30.864864,1,1
POLICE,AVAILABLE,4,30.017747,32.192156,1,1
POLICE,AVAILABLE,3,30.132770,30.684172,1,1
POLICE,AVAILABLE,2,29.718514,30.762307,1,1
POLICE,AVAILABLE,1,31.037247,32.093756,1,1
POLICE,AVAILABLE,3,29.118392,30.855110,1,1
MEDICAL,AVAILABLE,3,29.730703,31.617895,1,1
POLICE,AVAILABLE,2,30.071670,32.144368,1,1
FIRE,AVAILABLE,4,30.960282,31.270977,1,1
MEDICAL,AVAILABLE,6,30.360845,30.582823,1,1
MEDICAL,AVAILABLE,4,29.607169,30.978698,1,1
FIRE,AVAILABLE,3,29.123721,31.481180,1,1
MEDICAL,AVAILABLE,6,29.768720,30.520428,1,1
MEDICAL,AVAILABLE,4,30.763441,31.212020,1,1
MEDICAL,AVAILABLE,3,30.882695,30.371749,1,1
FIRE,AVAILABLE,2,30.981518,30.441088,1,1
MEDICAL,AVAILABLE,3,29.450456,31.914975,1,1
MEDICAL,AVAILABLE,1,30.901090,31.128850,1,1
MEDICAL,AVAILABLE,1,30.057815,31.100683,1,1
MEDICAL,AVAILABLE,6,30.150042,31.470712,1,1
POLICE,AVAILABLE,6,30.358082,31.840068,1,1
FIRE,AVAILABLE,6,29.586032,31.860799,1,1
FIRE,AVAILABLE,2,29.432465,31.539447,1,1
FIRE,AVAILABLE,4,29.798991,31.532303,1,1
POLICE,AVAILABLE,2,30.097316,31.119814,1,1
MEDICAL,AVAILABLE,6,30.787305,31.536372,1,1
MEDICAL,AVAILABLE,3,29.086152,31.091628,1,1
MEDICAL,AVAILABLE,2,29.090312,30.605720,1,1
